point	title	description	icon
339942.171766,185653.548528	GM107	<a target='_new' href='static/monumenten/pdfs/GM107.pdf'>OPEN DOCUMENT</a>	gm.png
331484.590657,187045.879975	GM047	<a target='_new' href='static/monumenten/pdfs/GM047.pdf'>OPEN DOCUMENT</a>	gm.png
331799.21484,188037.916956	GM114	<a target='_new' href='static/monumenten/pdfs/GM114.pdf'>OPEN DOCUMENT</a>	gm.png
339601.084402,184458.718836	GM029	<a target='_new' href='static/monumenten/pdfs/GM029.pdf'>OPEN DOCUMENT</a>	gm.png
335073.045439,186083.647787	GM032	<a target='_new' href='static/monumenten/pdfs/GM032.pdf'>OPEN DOCUMENT</a>	gm.png
334739.668679,189030.248239	GM185	<a target='_new' href='static/monumenten/pdfs/GM185.pdf'>OPEN DOCUMENT</a>	gm.png
334410.519868,188535.323192	GM192	<a target='_new' href='static/monumenten/pdfs/GM192.pdf'>OPEN DOCUMENT</a>	gm.png
331255.29182,185961.200299	GM060	<a target='_new' href='static/monumenten/pdfs/GM060.pdf'>OPEN DOCUMENT</a>	gm.png
331025.673516,185854.647278	GM062	<a target='_new' href='static/monumenten/pdfs/GM062.pdf'>OPEN DOCUMENT</a>	gm.png
334866.524771,190388.91485	GM235	<a target='_new' href='static/monumenten/pdfs/GM235.pdf'>OPEN DOCUMENT</a>	gm.png
339546.957249,182471.194718	GM123	<a target='_new' href='static/monumenten/pdfs/GM123.pdf'>OPEN DOCUMENT</a>	gm.png
334183.56306,188678.290132	GM135	<a target='_new' href='static/monumenten/pdfs/GM135.pdf'>OPEN DOCUMENT</a>	gm.png
336761.089223,188541.598524	GM182	<a target='_new' href='static/monumenten/pdfs/GM182.pdf'>OPEN DOCUMENT</a>	gm.png
337988.080689,184290.956008	GM023	<a target='_new' href='static/monumenten/pdfs/GM023.pdf'>OPEN DOCUMENT</a>	gm.png
334143.757562,188488.95751	GM195	<a target='_new' href='static/monumenten/pdfs/GM195.pdf'>OPEN DOCUMENT</a>	gm.png
334930.838673,190461.897733	GM025	<a target='_new' href='static/monumenten/pdfs/GM025.pdf'>OPEN DOCUMENT</a>	gm.png
331466.380812,186320.669012	GM080	<a target='_new' href='static/monumenten/pdfs/GM080.pdf'>OPEN DOCUMENT</a>	gm.png
332004.049823,186670.79095	GM084	<a target='_new' href='static/monumenten/pdfs/GM084.pdf'>OPEN DOCUMENT</a>	gm.png
339977.711851,185654.563861	GM106	<a target='_new' href='static/monumenten/pdfs/GM106.pdf'>OPEN DOCUMENT</a>	gm.png
334538.511188,188792.589958	GM152	<a target='_new' href='static/monumenten/pdfs/GM152.pdf'>OPEN DOCUMENT</a>	gm.png
331187.730425,185900.709104	GM057	<a target='_new' href='static/monumenten/pdfs/GM057.pdf'>OPEN DOCUMENT</a>	gm.png
337898.013508,184590.786045	GM022	<a target='_new' href='static/monumenten/pdfs/GM022.pdf'>OPEN DOCUMENT</a>	gm.png
334896.733064,190531.233248	GM026	<a target='_new' href='static/monumenten/pdfs/GM026.pdf'>OPEN DOCUMENT</a>	gm.png
334844.938787,190581.191813	GM027	<a target='_new' href='static/monumenten/pdfs/GM027.pdf'>OPEN DOCUMENT</a>	gm.png
339389.892609,184529.210231	GM030	<a target='_new' href='static/monumenten/pdfs/GM030.pdf'>OPEN DOCUMENT</a>	gm.png
334785.620921,185857.732236	GM033	<a target='_new' href='static/monumenten/pdfs/GM033.pdf'>OPEN DOCUMENT</a>	gm.png
330606.741405,186832.697019	GM036	<a target='_new' href='static/monumenten/pdfs/GM036.pdf'>OPEN DOCUMENT</a>	gm.png
331132.470787,185864.298523	GM038	<a target='_new' href='static/monumenten/pdfs/GM038.pdf'>OPEN DOCUMENT</a>	gm.png
331082.624398,185853.722856	GM039	<a target='_new' href='static/monumenten/pdfs/GM039.pdf'>OPEN DOCUMENT</a>	gm.png
331268.364032,185425.644948	GM040	<a target='_new' href='static/monumenten/pdfs/GM040.pdf'>OPEN DOCUMENT</a>	gm.png
330867.908776,186680.006751	GM045	<a target='_new' href='static/monumenten/pdfs/GM045.pdf'>OPEN DOCUMENT</a>	gm.png
331426.779113,187028.67055	GM048	<a target='_new' href='static/monumenten/pdfs/GM048.pdf'>OPEN DOCUMENT</a>	gm.png
331434.163412,187044.025668	GM049	<a target='_new' href='static/monumenten/pdfs/GM049.pdf'>OPEN DOCUMENT</a>	gm.png
331367.990999,186920.759148	GM051	<a target='_new' href='static/monumenten/pdfs/GM051.pdf'>OPEN DOCUMENT</a>	gm.png
331310.022353,186922.348092	GM072	<a target='_new' href='static/monumenten/pdfs/GM072.pdf'>OPEN DOCUMENT</a>	gm.png
331265.699711,186888.174642	GM073	<a target='_new' href='static/monumenten/pdfs/GM073.pdf'>OPEN DOCUMENT</a>	gm.png
331238.166702,187046.449608	GM070	<a target='_new' href='static/monumenten/pdfs/GM070.pdf'>OPEN DOCUMENT</a>	gm.png
331301.324914,187005.603489	GM071	<a target='_new' href='static/monumenten/pdfs/GM071.pdf'>OPEN DOCUMENT</a>	gm.png
331415.739126,186965.126778	GM054	<a target='_new' href='static/monumenten/pdfs/GM054.pdf'>OPEN DOCUMENT</a>	gm.png
331453.72673,186967.626551	GM055	<a target='_new' href='static/monumenten/pdfs/GM055.pdf'>OPEN DOCUMENT</a>	gm.png
331087.542349,185707.35655	GM063	<a target='_new' href='static/monumenten/pdfs/GM063.pdf'>OPEN DOCUMENT</a>	gm.png
331106.447972,185996.242065	GM076	<a target='_new' href='static/monumenten/pdfs/GM076.pdf'>OPEN DOCUMENT</a>	gm.png
331100.359332,186002.295741	GM077	<a target='_new' href='static/monumenten/pdfs/GM077.pdf'>OPEN DOCUMENT</a>	gm.png
331073.266052,186080.967924	GM079	<a target='_new' href='static/monumenten/pdfs/GM079.pdf'>OPEN DOCUMENT</a>	gm.png
330651.311378,185052.536504	GM086	<a target='_new' href='static/monumenten/pdfs/GM086.pdf'>OPEN DOCUMENT</a>	gm.png
331994.692878,186475.508495	GM090	<a target='_new' href='static/monumenten/pdfs/GM090.pdf'>OPEN DOCUMENT</a>	gm.png
332002.338854,186493.672478	GM092	<a target='_new' href='static/monumenten/pdfs/GM092.pdf'>OPEN DOCUMENT</a>	gm.png
339227.213295,182207.913747	GM100	<a target='_new' href='static/monumenten/pdfs/GM100.pdf'>OPEN DOCUMENT</a>	gm.png
336084.745849,185161.976516	GM103	<a target='_new' href='static/monumenten/pdfs/GM103.pdf'>OPEN DOCUMENT</a>	gm.png
340041.854738,185593.814626	GM105	<a target='_new' href='static/monumenten/pdfs/GM105.pdf'>OPEN DOCUMENT</a>	gm.png
339940.490818,185431.803253	GM109	<a target='_new' href='static/monumenten/pdfs/GM109.pdf'>OPEN DOCUMENT</a>	gm.png
337591.2014,182243.990866	GM121	<a target='_new' href='static/monumenten/pdfs/GM121.pdf'>OPEN DOCUMENT</a>	gm.png
335166.058546,190478.705337	GM124	<a target='_new' href='static/monumenten/pdfs/GM124.pdf'>OPEN DOCUMENT</a>	gm.png
334993.258723,190545.70218	GM125	<a target='_new' href='static/monumenten/pdfs/GM125.pdf'>OPEN DOCUMENT</a>	gm.png
334455.17713,188701.299838	GM126	<a target='_new' href='static/monumenten/pdfs/GM126.pdf'>OPEN DOCUMENT</a>	gm.png
334438.516987,188646.908569	GM128	<a target='_new' href='static/monumenten/pdfs/GM128.pdf'>OPEN DOCUMENT</a>	gm.png
334431.498738,188573.709645	GM130	<a target='_new' href='static/monumenten/pdfs/GM130.pdf'>OPEN DOCUMENT</a>	gm.png
